,sim,sim_std,obs
2005-11-29,3.6255452570148305,1.1339560505741653,
2005-11-30,3.580295756975877,1.1371427125761608,
2005-12-01,3.5326936689565906,1.1426052446396513,
2005-12-02,3.4859819365605493,1.147155403607819,
2005-12-03,3.4378381565908813,1.1512495105783307,
2005-12-04,3.3899372135110664,1.1523511670257052,
2005-12-05,3.3384548232676767,1.1514560589065705,
2005-12-06,3.280468096046164,1.148814303244798,
2005-12-07,3.2112753162143965,1.1461264193524998,
2005-12-08,3.1367854064525327,1.137660450959639,
2005-12-09,3.0584697592711114,1.1260052820856907,
2005-12-10,2.9829273323549566,1.118045441029072,
2005-12-11,2.907586903754246,1.1127831858937312,
2005-12-12,2.8339009202001577,1.1108187936922103,
2005-12-13,2.761538618344189,1.1116526553152808,
2005-12-14,2.6914399604292103,1.1143311748268216,
2005-12-15,2.6221085437702896,1.1151381649463987,
2005-12-16,2.552832063295873,1.1078887627968437,
2005-12-17,2.485643935355249,1.0939529832468624,
2005-12-18,2.4194285618082843,1.07705760094402,
2005-12-19,2.357040515142832,1.0614771490847126,
2005-12-20,2.2967646262197143,1.045109819325416,
2005-12-21,2.2376927253531136,1.030425850645415,
2005-12-22,2.182098024024556,1.0117787441905353,
2005-12-23,2.1281405654601024,0.993824211489882,
2005-12-24,2.0754385106935107,0.9762544228005479,
2005-12-25,2.024961800261152,0.9624519969761212,
2005-12-26,1.977010511525641,0.9501503462870414,
2005-12-27,1.9319843819670306,0.9396291248431466,
2005-12-28,1.8886579979138158,0.9297089688430042,
2005-12-29,1.8497854958519369,0.9196783069505176,
2005-12-30,1.8121220744319155,0.9089772650692742,
2005-12-31,1.7744943723795,0.8965345955421719,
2006-01-01,1.7375952175483533,0.8803267547514991,
2006-01-02,1.702038284611805,0.8670122260120862,
2006-01-03,1.670000843401613,0.8548794327849076,
2006-01-04,1.6417361620957425,0.8448346071670554,
2006-01-05,1.6160335869986706,0.8352840679593608,
2006-01-06,1.592475318102156,0.8263225696668086,
2006-01-07,1.5723678273164579,0.8175418565269419,
2006-01-08,1.5538765121277471,0.8088231309414023,
2006-01-09,1.5374594197573905,0.8010464537664561,
2006-01-10,1.5232958493433297,0.7934698079830291,
2006-01-11,1.5095710175915353,0.785869971029368,
2006-01-12,1.5119033343797181,0.7859743963637751,
2006-01-13,1.5143947637340127,0.7859850486366131,
2006-01-14,1.5172566299137336,0.7859934670604499,
2006-01-15,1.5201365465770695,0.7859968170387258,
2006-01-16,1.5209138533061994,0.7859983191402448,
2006-01-17,1.5246272713693692,0.7859960106111095,
2006-01-18,1.5283619158471413,0.7859909330338954,
2006-01-19,1.5295761090559499,0.7859903572642148,
2006-01-20,1.532717586633555,0.7859813483513618,
2006-01-21,1.5356125645705898,0.7859741300911869,
2006-01-22,1.5375926979395482,0.7859678471585176,
2006-01-23,1.5408476791559564,0.7859547673345331,
2006-01-24,1.544131826690067,0.7859329208244492,
2006-01-25,1.5451019892426798,0.7859274358277187,
2006-01-26,1.5487918006984407,0.7858963913122139,
2006-01-27,1.5533710804951542,0.7858572091645495,
2006-01-28,1.5579748901511412,0.7858093795502641,
2006-01-29,1.5616082595813274,0.7857720104179284,
2006-01-30,1.5652672752584287,0.7857289665119815,
2006-01-31,1.5694174968765302,0.7856755476368503,
2006-02-01,1.5739209431773322,0.785610210396591,
2006-02-02,1.5598109043840376,0.7851749753064635,
2006-02-03,1.5454876742194503,0.7845511316831443,
2006-02-04,1.5345093316301617,0.7824379140817286,
2006-02-05,1.5260609298408534,0.7787930316982759,
2006-02-06,1.5190611961793559,0.7744069744350984,
2006-02-07,1.511444928622012,0.7698459662346564,
2006-02-08,1.5036129987342997,0.7649483755061615,
2006-02-09,1.5088059730935963,0.7649413351629452,
2006-02-10,1.5151290527469186,0.7649201069936274,
2006-02-11,1.5214972826682074,0.7648845386701808,
2006-02-12,1.5272069475934815,0.7648400806590349,
2006-02-13,1.531130213222145,0.7648078060110527,
2006-02-14,1.5377984546907817,0.7647386846978895,
2006-02-15,1.5451775962569148,0.7646476806147687,
2006-02-16,1.5535414682937794,0.7645152920649677,
2006-02-17,1.562032789190283,0.7643444187657454,
2006-02-18,1.5662623298057925,0.7642657696202149,
2006-02-19,1.5685189559853896,0.764221233162528,
2006-02-20,1.5744795977688746,0.7640981657516625,
2006-02-21,1.5825321414656879,0.7639136336380522,
2006-02-22,1.590641742567459,0.7637127081083471,
2006-02-23,1.5998212599503623,0.7634413146534758,
2006-02-24,1.6096991911144873,0.7631057293934004,
2006-02-25,1.6197222536501241,0.7627567025536949,
2006-02-26,1.6293928388286385,0.7624088613658954,
2006-02-27,1.6392813103796098,0.7620321404989148,
2006-02-28,1.649333314725518,0.7616199071613361,
2006-03-01,1.659506102737205,0.7611666142023471,
2006-03-02,1.6684314211650455,0.760754651715956,
2006-03-03,1.6774027610360465,0.7603130597496833,
2006-03-04,1.6884009385104717,0.7597591205636709,
2006-03-05,1.6994825236538718,0.7591603603108168,
